Sample	sum_pct_a	sum_pct_c	sum_pct_g	sum_pct_t	sum_pct_n	cycle_count	mean_pct_a	mean_pct_c	mean_pct_g	mean_pct_t
KAZ14057_R1	5499.382686999999	3946.9374450000005	3948.3789179999976	5503.890843000002	1.410091	189	29.09726289417989	20.883266904761907	20.890893746031733	29.121115571428582
KAZ14057_R2	2915.8357490000008	2081.091312	2083.5592319999996	2919.172097	0.34161500000000017	100	29.158357490000007	20.81091312	20.835592319999996	29.191720970000002
KAZ14059_R1	5454.672933999999	3991.520933000001	3992.681551000001	5459.822921000001	1.3016490000000003	189	28.86070335449735	21.11915837566138	21.12529921164022	28.88795196296297
KAZ14059_R2	2893.601624	2103.8772740000004	2105.6195629999993	2896.5685780000013	0.3329720000000004	100	28.93601624	21.038772740000002	21.056195629999994	28.965685780000012
KAZ14061_R1	5453.061376000005	3992.1192020000017	3994.3523520000003	5459.1686949999985	1.2983770000000006	189	28.85217659259262	21.12232382010583	21.13413942857143	28.88449044973544
KAZ14061_R2	2892.354792000001	2104.7057910000003	2106.768312000001	2895.8411649999985	0.32993099999999975	100	28.92354792000001	21.047057910000003	21.067683120000012	28.958411649999984
Lesina_280_R1	5474.470221	3967.9819959999986	3968.4584499999983	5475.324382000003	13.764944999999997	189	28.9654509047619	20.99461373544973	20.997134656084647	28.969970275132294
Lesina_280_R2	2926.619396	2065.0078080000008	2067.968758999999	2930.614919	9.789126999999999	100	29.26619396	20.650078080000007	20.67968758999999	29.30614919
Lesina_281_R1	5491.44303	3952.8119829999996	3950.3790770000005	5491.076591000002	14.289319999999996	189	29.055254126984128	20.914349116402114	20.9014765978836	29.053315296296304
Lesina_281_R2	2937.2312819999997	2054.51022	2057.307019	2941.0755200000003	9.875958999999998	100	29.372312819999998	20.545102200000002	20.57307019	29.410755200000004
Lesina_282_R1	5515.431877999999	3918.8916209999993	3923.4000649999994	5519.3339419999975	22.942497	189	29.182179248677247	20.7348763015873	20.7587305026455	29.202825089947076
Lesina_282_R2	2931.442476999999	2057.887401	2060.9019439999997	2935.356285000001	14.411886	100	29.31442476999999	20.57887401	20.609019439999997	29.353562850000014
